CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
BOGA,A,,12,12,//www.fantacalcio.it/squadre/Sassuolo/BOGA/2832,2019,Sassuolo,Boga Jeremie,"Costa d'Avorio, Francia",03/01/1997,174,
RASPADORI,A,Pc,1,1,//www.fantacalcio.it/squadre/Sassuolo/RASPADORI/4371,2019,Sassuolo,Raspadori Giacomo,Italia,18/02/2000,172,
BERARDI,A,A,18,18,//www.fantacalcio.it/squadre/Sassuolo/BERARDI/531,2019,Sassuolo,Berardi Domenico,Italia,01/08/1994,185,72
MATRI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sassuolo/MATRI/380,2019,Sassuolo,Matri Alessandro,Italia,19/08/1984,184,80
CAPUTO,A,Pc,26,26,//www.fantacalcio.it/squadre/Sassuolo/CAPUTO/2819,2019,Sassuolo,Caputo Francesco,Italia,06/08/1987,181,
BABACAR,A,Pc,14,14,//www.fantacalcio.it/squadre/Sassuolo/BABACAR/183,2019,Sassuolo,Babacar Khouma,Senegal,17/03/1993,191,85
BRIGNOLA,A,A,3,3,//www.fantacalcio.it/squadre/Sassuolo/BRIGNOLA/2317,2019,Sassuolo,Brignola Enrico,Italia,08/07/1999,180,
BERISHA E,P,Por,8,8,//www.fantacalcio.it/squadre/SPAL/BERISHA-E/316,2019,Spal,Berisha Etrit,"Albania, Kosovo",10/03/1989,194,82
LETICA,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/LETICA/4520,2019,Spal,Letica Karlo,Croazia,11/02/1997,201,
THIAM D,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/THIAM-D/4485,2019,Spal,Thiam Demba,Senegal,09/03/1998,202,
FELIPE,D,Dc,6,6,//www.fantacalcio.it/squadre/SPAL/FELIPE/708,2019,Spal,Felipe,"Brasile, Italia",31/07/1984,188,75
VICARI,D,Dc,7,7,//www.fantacalcio.it/squadre/SPAL/VICARI/2261,2019,Spal,Vicari Francesco,Italia,03/08/1994,190,
DICKMANN,D,,3,3,//www.fantacalcio.it/squadre/SPAL/DICKMANN/2787,2019,Spal,Dickmann Lorenzo,Italia,24/09/1996,177,
